image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
DERM_001,0,0,0,0,0,1,0
DERM_002,0,0,0,0,0,1,0
DERM_003,0,0,0,0,0,1,0
DERM_004,0,0,0,0,0,1,0
DERM_005,0,0,0,0,0,1,0
DERM_006,0,0,0,0,0,1,0
DERM_007,0,0,0,0,0,1,0
DERM_008,0,0,0,0,0,1,0
DERM_009,0,0,0,0,0,1,0
DERM_010,0,0,0,0,0,1,0
DERM_011,0,0,0,0,0,1,0
DERM_012,0,0,0,0,0,0,1
DERM_013,0,0,0,0,0,0,1
DERM_014,0,0,0,0,0,0,1
DERM_015,0,0,0,0,0,0,1
DERM_016,0,0,0,0,0,0,1
DERM_017,0,0,0,0,1,0,0
DERM_018,0,0,0,0,1,0,0
DERM_019,0,0,0,0,1,0,0
DERM_020,0,0,0,0,1,0,0
DERMO_001,0,0,0,0,0,1,0
ISIC_0024306,0,1,0,0,0,0,0
ISIC_0024307,0,1,0,0,0,0,0
ISIC_0024308,0,1,0,0,0,0,0
ISIC_0024309,0,1,0,0,0,0,0
ISIC_0024310,1,0,0,0,0,0,0
ISIC_0024311,0,1,0,0,0,0,0
ISIC_0024312,0,0,0,0,1,0,0
ISIC_0024313,1,0,0,0,0,0,0
ISIC_0024314,0,1,0,0,0,0,0
ISIC_0024315,1,0,0,0,0,0,0
ISIC_0024316,0,1,0,0,0,0,0
ISIC_0024317,0,1,0,0,0,0,0
ISIC_0024318,0,0,0,0,0,1,0
ISIC_0024319,0,1,0,0,0,0,0
ISIC_0024320,0,1,0,0,0,0,0
ISIC_0024321,0,1,0,0,0,0,0
ISIC_0024322,0,1,0,0,0,0,0
ISIC_0024323,1,0,0,0,0,0,0
ISIC_0024324,0,0,0,0,1,0,0
ISIC_0024325,0,1,0,0,0,0,0
ISIC_0024326,0,1,0,0,0,0,0
ISIC_0024327,0,1,0,0,0,0,0
ISIC_0024328,0,1,0,0,0,0,0
ISIC_0024329,0,0,0,1,0,0,0
ISIC_0024330,0,0,0,0,0,1,0
ISIC_0024331,0,0,1,0,0,0,0
ISIC_0024332,0,0,1,0,0,0,0
ISIC_0024333,1,0,0,0,0,0,0
ISIC_0024334,0,1,0,0,0,0,0
ISIC_0024335,0,1,0,0,0,0,0
ISIC_0024336,0,0,0,0,1,0,0
ISIC_0024337,0,0,0,0,1,0,0
ISIC_0024338,0,0,0,0,1,0,0
ISIC_0024339,0,1,0,0,0,0,0
ISIC_0024340,0,1,0,0,0,0,0
ISIC_0024341,0,1,0,0,0,0,0
ISIC_0024342,0,1,0,0,0,0,0
ISIC_0024343,0,1,0,0,0,0,0
ISIC_0024344,0,1,0,0,0,0,0
ISIC_0024345,0,0,1,0,0,0,0
ISIC_0024346,0,1,0,0,0,0,0
ISIC_0024347,0,1,0,0,0,0,0
ISIC_0024348,0,1,0,0,0,0,0
ISIC_0024349,0,1,0,0,0,0,0
ISIC_0024350,0,1,0,0,0,0,0
ISIC_0024351,1,0,0,0,0,0,0
ISIC_0024352,0,1,0,0,0,0,0
ISIC_0024353,0,1,0,0,0,0,0
ISIC_0024354,0,1,0,0,0,0,0
ISIC_0024355,0,1,0,0,0,0,0
ISIC_0024356,0,1,0,0,0,0,0
ISIC_0024357,0,1,0,0,0,0,0
ISIC_0024358,0,0,0,0,1,0,0
ISIC_0024359,0,1,0,0,0,0,0
ISIC_0024360,0,0,1,0,0,0,0
ISIC_0024361,0,1,0,0,0,0,0
ISIC_0024362,0,1,0,0,0,0,0
ISIC_0024363,0,1,0,0,0,0,0
ISIC_0024364,0,1,0,0,0,0,0
ISIC_0024365,0,1,0,0,0,0,0
ISIC_0024366,0,1,0,0,0,0,0
ISIC_0024367,1,0,0,0,0,0,0
ISIC_0024368,0,1,0,0,0,0,0
ISIC_0024369,0,1,0,0,0,0,0
ISIC_0024370,0,0,0,0,0,0,1
ISIC_0024371,0,0,0,0,1,0,0
ISIC_0024372,0,0,0,1,0,0,0
ISIC_0024373,0,1,0,0,0,0,0
ISIC_0024374,0,1,0,0,0,0,0
ISIC_0024375,0,0,0,0,0,0,1
ISIC_0024376,0,1,0,0,0,0,0
ISIC_0024377,0,1,0,0,0,0,0
ISIC_0024378,0,1,0,0,0,0,0
ISIC_0024379,0,1,0,0,0,0,0
ISIC_0024380,0,1,0,0,0,0,0
ISIC_0024381,0,0,0,0,1,0,0
ISIC_0024382,0,0,0,0,1,0,0
ISIC_0024383,0,0,0,0,1,0,0
ISIC_0024384,0,1,0,0,0,0,0
ISIC_0024385,0,1,0,0,0,0,0
ISIC_0024386,0,0,0,0,0,1,0
